Splash.cpp                      (00144): , [OSIsWin7        ], [s_0] [Fri Mar 29 16:20:36 2013], 
Splash.cpp                      (00160): , [OSIsWin7        ], [s_0] [Fri Mar 29 16:20:36 2013], OS version 6.1
Splash.cpp                      (00163): , [OSIsWin7        ], [s_0] [Fri Mar 29 16:20:36 2013], Desktop resolution 1440x900
MainForm.cpp                    (00172): , [TF::FormCreate  ], [s_0] [Fri Mar 29 16:20:37 2013], Created
Splash.cpp                      (00144): , [OSIsWin7        ], [s_0] [Fri Mar 29 16:30:22 2013], 
Splash.cpp                      (00160): , [OSIsWin7        ], [s_0] [Fri Mar 29 16:30:22 2013], OS version 6.1
Splash.cpp                      (00163): , [OSIsWin7        ], [s_0] [Fri Mar 29 16:30:22 2013], Desktop resolution 1440x900
Splash.cpp                      (00144): , [OSIsWin7        ], [s_0] [Fri Mar 29 16:32:12 2013], 
Splash.cpp                      (00160): , [OSIsWin7        ], [s_0] [Fri Mar 29 16:32:12 2013], OS version 6.1
Splash.cpp                      (00163): , [OSIsWin7        ], [s_0] [Fri Mar 29 16:32:12 2013], Desktop resolution 1440x900
MainForm.cpp                    (00172): , [TF::FormCreate  ], [s_0] [Fri Mar 29 16:32:12 2013], Created
Splash.cpp                      (00144): , [OSIsWin7        ], [s_0] [Fri Mar 29 16:45:47 2013], 
Splash.cpp                      (00160): , [OSIsWin7        ], [s_0] [Fri Mar 29 16:45:47 2013], OS version 6.1
Splash.cpp                      (00163): , [OSIsWin7        ], [s_0] [Fri Mar 29 16:45:47 2013], Desktop resolution 1440x900
MainForm.cpp                    (00172): , [TF::FormCreate  ], [s_0] [Fri Mar 29 16:45:47 2013], Created
MainForm.cpp                    (00754): , [TF::tmrWaitingTimer], [s_0] [Fri Mar 29 16:46:41 2013], mRoundSuddenDeath: chooseplayer = 3; isPlayerInGame[2] 1->0
MainForm.cpp                    (00760): , [TF::tmrWaitingTimer], [s_0] [Fri Mar 29 16:46:41 2013], isPlayerInGame: 0
MainForm.cpp                    (00760): , [TF::tmrWaitingTimer], [s_0] [Fri Mar 29 16:46:41 2013], isPlayerInGame: 1
MainForm.cpp                    (00760): , [TF::tmrWaitingTimer], [s_0] [Fri Mar 29 16:46:41 2013], isPlayerInGame: 3
MainForm.cpp                    (00760): , [TF::tmrWaitingTimer], [s_0] [Fri Mar 29 16:46:41 2013], isPlayerInGame: 4
MainForm.cpp                    (01022): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:47:50 2013], Answer at round 2
MainForm.cpp                    (01023): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:47:50 2013], Key 49(1) pressed
MainForm.cpp                    (01029): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:47:50 2013], answer[0..3] -> 0
MainForm.cpp                    (00754): , [TF::tmrWaitingTimer], [s_0] [Fri Mar 29 16:48:37 2013], mRoundSuddenDeath: chooseplayer = 2; isPlayerInGame[1] 1->0
MainForm.cpp                    (00760): , [TF::tmrWaitingTimer], [s_0] [Fri Mar 29 16:48:37 2013], isPlayerInGame: 0
MainForm.cpp                    (00760): , [TF::tmrWaitingTimer], [s_0] [Fri Mar 29 16:48:37 2013], isPlayerInGame: 3
MainForm.cpp                    (00760): , [TF::tmrWaitingTimer], [s_0] [Fri Mar 29 16:48:37 2013], isPlayerInGame: 4
MainForm.cpp                    (01007): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:49:24 2013], Choose player for answer
MainForm.cpp                    (01008): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:49:24 2013], Key 52(4) pressed
MainForm.cpp                    (01009): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:49:24 2013], Current hatch = 1
MainForm.cpp                    (01012): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:49:24 2013], isPlayerInGame[0] = 1
MainForm.cpp                    (01012): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:49:24 2013], isPlayerInGame[1] = 0
MainForm.cpp                    (01012): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:49:24 2013], isPlayerInGame[2] = 0
MainForm.cpp                    (01012): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:49:24 2013], isPlayerInGame[3] = 1
MainForm.cpp                    (01014): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:49:24 2013], HatchClick -> 4
MainForm.cpp                    (01012): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:49:24 2013], isPlayerInGame[4] = 1
MainForm.cpp                    (00754): , [TF::tmrWaitingTimer], [s_0] [Fri Mar 29 16:49:56 2013], mRoundSuddenDeath: chooseplayer = 5; isPlayerInGame[4] 1->0
MainForm.cpp                    (00760): , [TF::tmrWaitingTimer], [s_0] [Fri Mar 29 16:49:56 2013], isPlayerInGame: 0
MainForm.cpp                    (00760): , [TF::tmrWaitingTimer], [s_0] [Fri Mar 29 16:49:56 2013], isPlayerInGame: 3
MainForm.cpp                    (01022): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:50:54 2013], Answer at round 4
MainForm.cpp                    (01023): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:50:54 2013], Key 53(5) pressed
MainForm.cpp                    (01029): , [TF::FormKeyDown ], [s_0] [Fri Mar 29 16:50:54 2013], answer[0..5] -> 4
MainForm.cpp                    (00754): , [TF::tmrWaitingTimer], [s_0] [Fri Mar 29 16:51:15 2013], mRoundSuddenDeath: chooseplayer = 4; isPlayerInGame[3] 1->0
MainForm.cpp                    (00760): , [TF::tmrWaitingTimer], [s_0] [Fri Mar 29 16:51:15 2013], isPlayerInGame: 0
